"","Reporter","Year","FAOGroup","FMI_Imp1"
"335","Belgium",2015,"Pelagic fish",0.606243622849945
"336","Belgium",2016,"Aquatic animals nei",0.550849755310436
"337","Belgium",2016,"Cephalopods",0.551185238708191
"338","Belgium",2016,"Crustaceans",0.505676650706579
"339","Belgium",2016,"Demersal fish",0.671445181770093
"340","Belgium",2016,"Freshwater & diadromous fish",0.535449061092741
"341","Belgium",2016,"Marine fish nei",0.527615839112466
"342","Belgium",2016,"Molluscs excl. cephalopods",0.558925795687264
"343","Belgium",2016,"Pelagic fish",0.613544165962807
"344","Belgium",2017,"Aquatic animals nei",0.552991777744809
"345","Belgium",2017,"Cephalopods",0.536569632153569
"346","Belgium",2017,"Crustaceans",0.503293986795412
"347","Belgium",2017,"Demersal fish",0.669880681380136
"348","Belgium",2017,"Freshwater & diadromous fish",0.539345165356385
"349","Belgium",2017,"Marine fish nei",0.512452949123131
"350","Belgium",2017,"Molluscs excl. cephalopods",0.562760347628737
"351","Belgium",2017,"Pelagic fish",0.60699042954325
"352","Belize",2012,"Aquatic animals nei",0.676252171803472
"353","Belize",2012,"Cephalopods",0.727991070389701
"354","Belize",2012,"Crustaceans",0.595035929096133
"355","Belize",2012,"Freshwater & diadromous fish",0.680214736224444
"356","Belize",2012,"Marine fish nei",0.582583605500326
"357","Belize",2012,"Molluscs excl. cephalopods",0.675201661584564
"358","Belize",2012,"Pelagic fish",0.536945933645297
"359","Belize",2013,"Aquatic animals nei",0.676252171803472
"360","Belize",2013,"Cephalopods",0.622560759777484
"361","Belize",2013,"Crustaceans",0.68178722559614
"362","Belize",2013,"Freshwater & diadromous fish",0.679051013741257
"363","Belize",2013,"Marine fish nei",0.532947344224611
"364","Belize",2013,"Molluscs excl. cephalopods",0.663480698629778
"365","Belize",2013,"Pelagic fish",0.550709766623613
"366","Belize",2014,"Aquatic animals nei",0.676252171803472
"367","Belize",2014,"Cephalopods",0.726765398715165
"368","Belize",2014,"Crustaceans",0.581087672975529
"369","Belize",2014,"Demersal fish",0.650306433411615
"370","Belize",2014,"Freshwater & diadromous fish",0.585259941085293
"371","Belize",2014,"Marine fish nei",0.576174984708672
"372","Belize",2014,"Molluscs excl. cephalopods",0.684035606087467
"373","Belize",2014,"Pelagic fish",0.562760274391561
"374","Belize",2015,"Aquatic animals nei",0.673316932424124
"375","Belize",2015,"Cephalopods",0.711026885470408
"376","Belize",2015,"Crustaceans",0.691758547040037
"377","Belize",2015,"Demersal fish",0.610847426852048
"378","Belize",2015,"Freshwater & diadromous fish",0.659079226267285
"379","Belize",2015,"Marine fish nei",0.568156551538673
"380","Belize",2015,"Molluscs excl. cephalopods",0.681750508209734
"381","Belize",2015,"Pelagic fish",0.605284983817181
"382","Belize",2016,"Aquatic animals nei",0.504252171803472
"383","Belize",2016,"Cephalopods",0.72798353462649
"384","Belize",2016,"Crustaceans",0.641359919346814
"385","Belize",2016,"Demersal fish",0.72968816939491
"386","Belize",2016,"Freshwater & diadromous fish",0.552694777342496
"387","Belize",2016,"Marine fish nei",0.565988091126722
"388","Belize",2016,"Molluscs excl. cephalopods",0.685208749896436
"389","Belize",2016,"Pelagic fish",0.51177134348592
"390","Belize",2017,"Aquatic animals nei",0.676252171803472
"391","Belize",2017,"Cephalopods",0.727925013475608
"392","Belize",2017,"Crustaceans",0.662966127224864
"393","Belize",2017,"Demersal fish",0.66676425906817
"394","Belize",2017,"Freshwater & diadromous fish",0.669018153710534
"395","Belize",2017,"Marine fish nei",0.571026501036822
"396","Belize",2017,"Molluscs excl. cephalopods",0.685686204033613
"397","Belize",2017,"Pelagic fish",0.549306017007757
"398","Bolivia",2012,"Aquatic animals nei",0.563152559826869
"399","Bolivia",2012,"Cephalopods",0.597346005518215
"400","Bolivia",2012,"Crustaceans",0.53026325904335
"401","Bolivia",2012,"Demersal fish",0.663274908893669
"402","Bolivia",2012,"Freshwater & diadromous fish",0.559218302522089
"403","Bolivia",2012,"Marine fish nei",0.533128829917646
"404","Bolivia",2012,"Molluscs excl. cephalopods",0.597010108408821
"405","Bolivia",2012,"Pelagic fish",0.552260974770239
"406","Bolivia",2013,"Aquatic animals nei",0.570495110047725
"407","Bolivia",2013,"Cephalopods",0.607710216200495
"408","Bolivia",2013,"Crustaceans",0.541432247527424
"409","Bolivia",2013,"Demersal fish",0.693494531992866
"410","Bolivia",2013,"Freshwater & diadromous fish",0.481103488040519
"411","Bolivia",2013,"Marine fish nei",0.532981301265873
"412","Bolivia",2013,"Molluscs excl. cephalopods",0.578957570109978
"413","Bolivia",2013,"Pelagic fish",0.542924088503988
"414","Bolivia",2014,"Aquatic animals nei",0.569953522834522
"415","Bolivia",2014,"Cephalopods",0.596300267918006
"416","Bolivia",2014,"Crustaceans",0.53576980871197
"417","Bolivia",2014,"Demersal fish",0.706481387982519
"418","Bolivia",2014,"Freshwater & diadromous fish",0.50205996690429
"419","Bolivia",2014,"Marine fish nei",0.526154720905587
"420","Bolivia",2014,"Molluscs excl. cephalopods",0.581577150510844
"421","Bolivia",2014,"Pelagic fish",0.523839463629059
"422","Bolivia",2015,"Aquatic animals nei",0.5679068051669
"423","Bolivia",2015,"Cephalopods",0.607654607660261
"424","Bolivia",2015,"Crustaceans",0.548485665099636
"425","Bolivia",2015,"Demersal fish",0.663805011460461
"426","Bolivia",2015,"Freshwater & diadromous fish",0.483173746522238
"427","Bolivia",2015,"Marine fish nei",0.518866184946383
"428","Bolivia",2015,"Molluscs excl. cephalopods",0.585222811492905
"429","Bolivia",2015,"Pelagic fish",0.529200269044061
"430","Bolivia",2016,"Aquatic animals nei",0.562913436499873
"431","Bolivia",2016,"Cephalopods",0.611726328458859
"432","Bolivia",2016,"Crustaceans",0.546048464922327
"433","Bolivia",2016,"Demersal fish",0.746912600419026
"434","Bolivia",2016,"Freshwater & diadromous fish",0.51767515063359
"435","Bolivia",2016,"Marine fish nei",0.511818339702365
"436","Bolivia",2016,"Molluscs excl. cephalopods",0.572884060338306
"437","Bolivia",2016,"Pelagic fish",0.532447771646196
